Price,Close,High,Low,Open,Volume,rsi,macd,atr,ema20,ema50,vol_z,sma20,sma50,sma200
2024-08-06,32261.525390625,32775.15369314936,31921.933388530924,31921.933388530924,29693.0,37.993964834000195,-336.23826095640845,853.0356608390827,33614.775252270905,32787.86468400798,0.5106762653163575,34044.63095703125,32737.783125,26722.107119140626
2024-08-07,31996.572265625,32809.339709399246,31374.17028238268,32459.440323597173,60281.0,36.14613046147568,-365.2542233709596,894.6166441374743,33460.660682114154,32756.833608777277,2.8232005641119775,33896.1779296875,32757.8521484375,26786.085263671874
2024-08-08,31409.341796875,32084.280684264453,31195.59255393285,31995.73251918284,44900.0,32.386565929407325,-403.89434947219456,894.1931788656265,33265.296978758044,32703.99079262425,1.3948347027975507,33729.28603515625,32776.0047265625,26843.43486328125
2024-08-09,31589.939453125,32064.795175231466,31422.512662644524,31502.47809955448,32494.0,34.6381505646748,-396.6195815883266,877.140335972115,33105.739119173944,32660.30250480075,0.3755269691192239,33560.5599609375,32796.569453125,26901.3280078125
2024-08-12,31174.875,31561.57567412111,30660.80154680293,31561.57567412111,36237.0,32.00059593846527,-398.05739101804863,880.8544481399689,32921.847298300236,32602.05044578896,0.610799664254463,33394.262109375,32818.97921875,26956.441064453124
2024-08-13,31170.779296875,31453.09787413504,30949.53220784505,31360.356619424605,16810.0,31.97472267770675,-377.74638393116066,853.9052494363989,32755.07891721212,32545.92216543939,-0.9449513586354531,33230.40302734375,32845.560390625,27013.184638671875
2024-08-14,30578.125,31225.142108248718,30486.221974575656,31225.09393397501,26467.0,28.396878999597305,-381.5678506038096,845.6920268818749,32547.749972715726,32468.75364914765,-0.23030555320322985,33035.75009765625,32868.2295703125,27068.008916015624
2024-08-16,31512.88671875,31619.243952154186,30668.74434520084,31024.860134534723,25740.0,39.832521077268105,-301.96896459794095,859.6510929727543,32449.191567576134,32431.268671485,-0.21266520121971344,32885.82236328125,32918.2557421875,27126.965283203124
2024-08-19,31182.521484375,31652.837285463615,31102.951072712967,31512.88716588455,25158.0,37.5499908356687,-254.30572101815437,837.5250300997467,32328.55632155698,32382.29819355912,-0.26625279304921495,32764.0970703125,32935.77765625,27184.969462890625
2024-08-20,31625.26171875,31912.06821625908,31307.27683178596,31324.83924473358,29425.0,42.32024468339118,-179.2403063238163,829.8122945129132,32261.575883194408,32352.610488664646,0.07417790827357518,32661.4353515625,32966.3831640625,27246.469638671875
2024-08-21,31782.328125,31847.59270098564,31326.71320839128,31847.59270098564,22620.0,43.955775925914594,-108.75730613123164,807.745665804445,32215.933239556845,32330.246474403288,-0.4794936097478237,32570.1048828125,33001.2119921875,27309.386787109375
2024-08-22,32067.904296875,32123.745987137787,31672.22394230169,31782.329133644576,32048.0,46.90374336889197,-36.39223698999501,782.301121449563,32201.835245015718,32319.958545872767,0.3240237542235089,32490.52255859375,33038.450390625,27373.964052734376
2024-08-23,32163.60546875,32386.530954071663,31727.079110409457,32064.79618066371,39122.0,47.89290811438682,21.32454635664226,773.5261730361802,32198.194313942793,32313.82705265227,0.8864539888346445,32384.41767578125,33069.5665234375,27438.560234375
2024-08-26,32374.984375,32463.285890174244,31992.82364934563,32222.653470287318,32218.0,50.10396460585233,74.16813860506267,751.8787493070682,32215.03146261491,32316.225379018848,0.19362151742493666,32280.69287109375,33100.250390625,27505.50267578125
2024-08-27,31867.423828125,32480.20828169957,31812.618848803624,32459.439389356627,45779.0,45.14980724422381,75.13708014162,745.858083849131,32181.925973615867,32298.62531819948,1.322642915833176,32150.652734375,33100.717265625,27570.0396484375
2024-08-28,31512.443359375,32084.478165337718,31388.77229279452,32084.478165337718,26366.0,42.020419520386156,53.1072536012656,742.2757830415642,32118.165724640545,32267.794653147543,-0.6036439711925259,32003.43095703125,33096.1532421875,27633.2527734375
2024-08-29,31306.931640625,31768.762975769638,31078.18670577367,31512.44308731218,17160.0,40.27978560797726,27.234788965594248,738.5829606811643,32040.905335686683,32230.11375069568,-1.3878864792686547,31843.2748046875,33066.83296875,27694.972158203123
2024-08-30,31955.873046875,32064.79507461494,31413.582981088148,31413.582981088148,50047.0,47.653529337152676,54.777239250578305,739.9601373460767,32032.807022466524,32219.35921329095,1.5769568942931802,31745.54619140625,33060.04765625,27759.617255859375
2024-09-02,31894.703125,32195.27396488017,31494.879797639253,31955.8728876067,26466.0,47.06364164626296,68.91280821334715,737.1339966242796,32019.654270326853,32206.627601985423,-0.5723924150376892,31667.49794921875,33064.564296875,27823.734267578126
2024-09-03,31965.39453125,32345.585885325974,31788.54485202204,31963.56968982927,29277.0,47.86680153690131,82.16220949414173,724.270213529969,32014.486676129058,32197.167481564426,-0.28620726309785743,31669.67099609375,33063.5894921875,27887.266044921875
2024-09-04,32017.291015625,32084.8737408308,31536.96074749447,31946.403535237638,16544.0,48.48473243400531,92.774910230219,711.6732692304233,32014.753756081052,32190.11350250798,-1.3209328730170116,31657.45927734375,33055.618203125,27951.597080078125
2024-09-05,33269.19921875,33685.74481511409,31989.46892476604,32059.863099524217,92016.0,60.612976599365375,177.54913449459156,782.0020278816827,32134.224752525715,32232.430589419433,3.517023144520036,31721.090625,33056.92765625,28022.733271484376
2024-09-06,31924.0078125,33475.647193223034,31581.209320116875,33269.1992363948,65916.0,47.63552987740731,138.2168598762483,861.4617311120024,32114.204091570886,32220.335578559847,1.7459236509197442,31746.82392578125,33024.824609375,28086.960986328126
2024-09-09,32662.384765625,32729.82104053812,31724.16959396684,31841.822731499567,65068.0,53.51833005660902,155.81233984730574,871.760996501951,32166.411774814136,32237.670840797695,1.5048967510524136,31800.44619140625,32995.7022265625,28155.3487109375
2024-09-10,33084.94921875,33495.37860012413,32656.760873758725,32662.38377478247,90744.0,56.52824399802738,187.65710559135655,869.3936200636264,32253.891531379457,32270.897443854647,2.275204721898601,31895.94990234375,32988.0944921875,28224.650302734375
2024-09-11,32764.89453125,33340.13387370936,32542.21377815271,33084.948976070315,51904.0,53.69228369633491,178.94376519836163,864.2883683131282,32302.55848374808,32290.269878654464,0.5084029948509999,31975.6556640625,32970.8347265625,28288.12724609375
2024-09-12,33657.08203125,33820.959341397465,32990.13429161217,32992.207712261705,38720.0,59.75373791025298,222.22077267124035,877.9866855870094,32431.560726367312,32343.870355226838,-0.10804109842574128,32129.603515625,32963.6651171875,28355.759296875
2024-09-13,33883.26171875,34575.17142987919,33741.043562978695,33959.03406606504,50320.0,61.14235371658978,252.80612195281424,880.8511650900225,32569.817963737092,32404.238643992452,0.3629841778325521,32248.122265625,32962.9504296875,28424.87658203125
2024-09-16,33581.21484375,34091.24166098279,33396.718937066646,33890.023500391115,28975.0,58.251861576728125,239.54686973459957,867.5419907204599,32666.141476119275,32450.39457339471,-0.6213256004163669,32368.05693359375,32941.8609765625,28491.80640625
2024-09-17,34255.36328125,34329.012105926115,33455.96329121243,33643.368911177124,57197.0,62.511683516674395,261.2542711205773,867.9353352914046,32817.495933750775,32521.177659977275,0.607885707015251,32499.56201171875,32938.2289453125,28561.60423828125
2024-09-18,33903.734375,34400.49204901245,33595.02593405734,34236.32183893935,18444.0,59.12304793306146,237.6819907131797,863.4732481245264,32920.94721386975,32575.395570370325,-1.1453328172119301,32605.63232421875,32940.5579296875,28627.76263671875
2024-09-19,33975.7109375,34323.44054206808,33594.03966771607,34047.03969187891,22135.0,59.60574481309756,213.4567669222541,853.8966499979181,33021.40090183454,32630.30989849306,-0.9392559782210378,32701.02265625,32920.7594921875,28695.114580078123
2024-09-20,35208.87109375,35517.92638374187,33962.09398756237,34038.01278441929,73949.0,66.8322055203482,263.70973019639047,904.0349175823166,33229.731396302675,32731.429945365882,1.2364455373846146,32853.2859375,32929.9933203125,28767.475537109374
2024-09-23,35973.640625,36087.15077218576,35025.80603807441,35083.919626144016,70172.0,70.37219007425887,327.5171916070358,915.2713330486766,33491.05608475004,32858.57546221428,0.9758242152269353,33033.21875,32950.1769140625,28841.7580859375
2024-09-24,36211.8125,36455.20820728296,35883.075100973336,35973.6427380749,40922.0,71.39608373298833,362.12274716808747,890.7614597101727,33750.17574334527,32990.07495389215,-0.2380314890067764,33250.43818359375,32984.3965234375,28917.545126953126
2024-09-25,36466.3046875,36846.889138329,35995.54570875768,36226.60878342404,41395.0,72.49007383020586,376.8272066978773,887.9458861288264,34008.85469040763,33126.39768854344,-0.25431995551672937,33498.13125,33024.7633984375,28992.245712890624
2024-09-26,36644.53515625,36701.85868679723,36260.40121378432,36470.00554724354,37856.0,73.2613666298979,372.56150255935086,856.0538566205471,34259.871877630714,33264.36386374762,-0.46828224670201746,33765.01142578125,33068.2304296875,29068.515390625
2024-09-27,37467.56640625,37668.63425242905,36405.87483987154,36524.31803002374,67836.0,76.53327673879242,396.9298190677423,885.1042534731876,34565.36659464207,33429.19533600262,0.8083623156556149,34040.59609375,33127.3529296875,29150.320947265624
2024-09-30,37174.34375,37614.078505162295,37008.74372638414,37467.46685261292,32053.0,73.10123355094275,365.8265576938388,865.1207195663993,34813.84060943806,33576.06390125742,-0.7724781853295466,34304.578125,33198.4992578125,29230.954765625
2024-10-01,37334.47265625,37570.02558614402,37145.83376129708,37195.16421781939,21533.0,73.79240610423992,329.68331520603056,833.6257985150093,35053.90080437253,33723.452479884574,-1.1967444836049408,34573.03203125,33271.6187890625,29312.031484375
2024-10-03,36625.69140625,37589.80500423162,36549.37565425137,36887.33935690845,49118.0,65.74024254098121,236.0725674890234,848.3974807625261,35203.59514740849,33837.26577111459,-0.07780022121484044,34803.45205078125,33331.9538671875,29389.75779296875
2024-10-04,36242.59375,36652.5298510256,35932.84857874992,36652.5298510256,35351.0,61.814062917744955,131.5958398676853,839.2034658706086,35302.54739527434,33931.592358521855,-0.639675533714884,34952.12177734375,33383.6147265625,29464.284365234376
