Price,Close,High,Low,Open,Volume
Ticker,MRF.NS,MRF.NS,MRF.NS,MRF.NS,MRF.NS
Date,,,,,
2023-10-11,107407.2734375,107830.52427363199,106969.37241969301,106990.40917711149,3534
2023-10-12,108351.484375,108515.72843802402,107578.76310106213,107768.03164125307,3311
2023-10-13,108757.734375,108914.50147208454,107967.56683224776,108420.02465075589,3150
2023-10-16,109212.0390625,109512.65991247309,107988.30861149808,108655.40215056863,4661
2023-10-17,110545.2109375,113090.91566453363,110271.84991236516,110360.03139069944,15221
2023-10-18,109335.984375,110758.75773263152,109065.06893743921,110659.11157036862,5862
2023-10-19,109238.5546875,109811.69546746656,108367.19190849936,109064.54382559299,5030
2023-10-20,109168.3125,109708.44551466391,108565.61440232534,108834.83975081687,3657
2023-10-23,108642.671875,110060.9512254589,108305.5074035786,109014.17587412981,9731
2023-10-25,108298.84375,109611.19953866577,107817.8722346007,108964.29386295975,4580
2023-10-26,107151.21875,108366.17920298052,106747.11982220507,108366.17920298052,5675
2023-10-27,107858.5390625,108541.63790415977,107298.81796866516,107946.47131254377,3807
2023-10-30,108680.921875,109113.48783417701,107588.03839867312,107858.5488668871,4654
2023-10-31,107965.2109375,109163.67532787807,107575.71546258243,109163.67532787807,8331
2023-11-01,108250.3359375,108939.41637708376,108017.05455170968,108166.79640277821,3163
2023-11-02,110160.703125,110459.73509909428,108590.49319195708,109163.92987801909,5623
2023-11-03,107392.421875,111456.65179638565,106970.47171513578,110409.67394290978,25427
2023-11-06,107062.0546875,108560.5870051535,106774.29267994115,108560.5870051535,7716
2023-11-07,106856.234375,107668.33431355176,106679.42745534924,107668.33431355176,4702
2023-11-08,108015.375,108366.19279136251,107000.50117974603,107498.864477393,5787
2023-11-09,107746.296875,108773.88145998295,107443.4251663213,107992.8343056713,5103
2023-11-10,107963.1328125,108146.76247104633,107008.47199318465,107966.4195629732,3311
2023-11-13,107307.0546875,108166.80476509247,106704.35654139277,108166.80476509247,6671
2023-11-15,109043.59375,109174.14471579151,107481.50728346597,107966.41198333554,6906
2023-11-16,109960.125,110160.65571285626,108665.26219639216,108685.20077661167,5724
2023-11-17,111135.9375,112257.16269087844,109466.13718047753,109665.17792065951,11891
2023-11-20,111051.890625,111260.30118300956,110313.1461520913,111000.09563992026,4443
