Price,Close,High,Low,Open,Volume
Ticker,PAGEIND.NS,PAGEIND.NS,PAGEIND.NS,PAGEIND.NS,PAGEIND.NS
Date,,,,,
2023-10-11,38011.03125,38262.247495093194,37805.264199934805,37995.73371606374,16722
2023-10-12,38009.49609375,38328.339434368536,37901.51525397187,38026.57101496213,9128
2023-10-13,37801.6640625,38129.984300425844,37516.681209166636,37996.56016839383,21364
2023-10-16,37439.43359375,37993.04584098815,37401.293088825834,37801.66317534356,13904
2023-10-17,37831.15234375,37997.715510057234,37527.31341171754,37564.781293575805,17506
2023-10-18,37147.19140625,38078.95080236558,37089.7138524291,37661.98677225127,10568
2023-10-19,37230.11328125,37419.18873600603,36915.50107365717,37175.232286422965,11138
2023-10-20,36238.89453125,37230.10790811775,36073.774344557445,37228.08627368052,26688
2023-10-23,36017.55078125,36458.51512851122,35483.226747514935,36266.17050095894,55825
2023-10-25,35643.0078125,36072.23691563484,35484.09154926385,36017.55132345505,35064
2023-10-26,35662.6796875,35864.45235224673,35031.62906497864,35616.651801428736,28909
2023-10-27,36117.40234375,36218.07072384335,35893.74493489758,35967.959212868605,13896
2023-10-30,36127.5078125,36743.55028235031,35937.181043899414,36073.78042577836,27682
2023-10-31,36378.13671875,36648.97934884633,36003.88636722213,36218.06687182458,20692
2023-11-01,35994.75390625,36477.2256566101,35929.482914133776,36312.154302973155,21566
2023-11-02,36157.94921875,36314.26891939641,35603.375019225976,36141.11478944962,17565
2023-11-03,35996.8203125,36400.846622795296,35901.487839544345,36400.846622795296,9473
2023-11-06,36074.88671875,36341.738763107394,35936.22060397317,36164.20690595517,15699
2023-11-07,35829.2421875,36169.92140156861,35756.3731649854,36072.81155478412,12107
2023-11-08,36440.43359375,36497.04688409699,35829.24979833995,36016.01428505349,15345
2023-11-09,36253.234375,37292.35084061508,35837.13461191031,36458.565571251434,42919
2023-11-10,36901.6953125,36968.409258511376,35977.58278085677,36258.04514361734,29199
2023-11-13,35627.27734375,37006.83236359391,35496.592585858,37006.83236359391,42823
2023-11-15,35588.703125,36005.332681929816,35410.01769206598,36005.332681929816,26305
2023-11-16,36018.359375,36063.18854982872,35505.87134651374,35727.41314537185,15975
2023-11-17,36141.94140625,36425.711518871896,35954.414265906424,36097.022245838416,12170
2023-11-20,36170.7109375,36373.61149727636,35975.61945879876,36141.94083697203,11200
2023-11-21,36343.15625,36697.531913694474,36149.12279118056,36241.55912157113,14227
2023-11-22,36407.87890625,36902.840605371275,36242.57037382683,36387.15509606284,14443
2023-11-23,36336.11328125,36590.39033668347,36242.5662236301,36510.52987815588,8197
2023-11-24,36150.0390625,36472.89602020495,36061.36042572126,36472.89602020495,14525
2023-11-28,36293.99609375,36602.10463284622,36056.00738018951,36223.292658003345,21591
2023-11-29,36005.20703125,36456.45440035066,35972.67547184018,36338.95673334337,19979
2023-11-30,35914.265625,36175.097973393036,35718.21024519191,36146.18102857018,25775
2023-12-01,36426.3359375,36583.35720450094,35808.81609682289,35914.2650478247,23223
2023-12-04,36134.3671875,36859.459456755874,36073.98048399424,36483.73126395524,30391
2023-12-05,35518.15234375,36338.960573624885,35210.76672711066,36199.244288602764,75226
2023-12-06,35406.7265625,36222.907295590805,35325.371302037696,35921.591237195076,32370
2023-12-07,36084.87109375,36350.33087321374,35375.058082886,35722.061377432015,36293
2023-12-08,35987.61328125,36411.19749844603,35771.21818324299,36049.7847013901,69746
2023-12-11,35945.49609375,36136.49099710474,35572.65955380817,36136.49099710474,46091
2023-12-12,36086.94921875,36300.40370736673,35874.360732362584,36001.546338031636,17207
2023-12-13,36250.03515625,36338.95474710997,35810.256691969655,36145.162300380136,25598
2023-12-14,36317.80078125,36459.44485096336,36069.06612883143,36337.94474501742,16898
2023-12-15,36485.7578125,36711.020026957165,36318.76248036561,36318.76248036561,26189
2023-12-18,36591.59765625,37173.020238525256,36252.20762833163,36485.76089156965,26693
2023-12-19,36392.98046875,36664.942773142415,36249.21282831506,36591.592397233944,25328
2023-12-20,35677.140625,36811.26451464472,35471.44629847933,36579.880047361636,22773
2023-12-21,35885.20703125,36005.64535819015,35419.50112241454,35741.34522502468,10933
2023-12-22,36254.37890625,36413.1811295896,35839.51864041153,36126.90337340228,20574
2023-12-26,36208.58984375,36502.81972814441,36049.78763751256,36502.81972814441,13279
2023-12-27,36560.125,36628.03086989012,36015.86142957489,36208.59210670633,25789
2023-12-28,37172.6328125,37281.26714195988,36494.244333107024,36560.12450995992,33096
2023-12-29,37122.359375,37485.21799155881,36979.028508281335,37283.522353121705,16473
2024-01-01,37373.65234375,37576.84280709466,37110.07517325957,37125.497542162746,12899
2024-01-02,37774.3984375,37829.48747854926,36735.12415540195,37494.57803809749,27375
2024-01-03,37400.109375,37952.52083926053,37306.75811040759,37738.53547769412,11523
2024-01-04,37663.7890625,37736.61232029122,37162.949846243595,37494.67388625819,18182
2024-01-05,37503.69140625,37833.00573222049,37264.305773443164,37833.00573222049,23336
2024-01-08,36332.58984375,37502.37791359354,36204.00736203185,37450.32742377592,41857
2024-01-09,35136.640625,36624.46637736497,34824.05146505947,36435.35031212367,83265
2024-01-10,35798.01953125,35910.987635593796,34314.77238101619,34314.77238101619,36662
2024-01-11,35488.66015625,35952.43826003648,35457.958493088336,35798.02252445602,13724
2024-01-12,35528.46484375,36049.79066212997,35337.7109067383,35550.49142247801,35026
2024-01-15,36257.2734375,36473.9095679279,35287.39977703469,35549.48220359484,37780
