Price,Close,High,Low,Open,Volume
Ticker,PGHH.NS,PGHH.NS,PGHH.NS,PGHH.NS,PGHH.NS
Date,,,,,
2023-10-11,16881.689453125,16973.742678801536,16775.949002310565,16889.86317512177,1664
2023-10-12,16808.1171875,17011.327773303812,16733.17255168503,16965.99082609237,1491
2023-10-13,16765.443359375,16864.482199447808,16733.602418701546,16806.362086889243,1138
2023-10-16,16727.138671875,16896.609259229255,16658.13449614332,16896.560992877286,1687
2023-10-17,16487.76171875,16732.03401355497,16353.031766265158,16726.47410108126,3885
2023-10-18,16419.044921875,16606.715654011445,16379.646580251048,16549.306535850927,1342
2023-10-19,16504.064453125,16621.923471334372,16357.69115631659,16454.25914189234,1721
2023-10-20,16291.7265625,16718.870795957195,16179.999236198802,16461.956422008072,2705
2023-10-23,16068.7919921875,16370.995027436784,15991.898129400717,16291.724975172028,1675
2023-10-25,16330.8388671875,16675.386371915218,15910.96614935724,16068.79341097869,12506
2023-10-26,16024.689453125,16428.593395736018,15921.419887719629,16330.83733244742,3526
2023-10-27,16158.5634765625,16230.704959448884,15987.145541145353,16047.406076797419,15845
2023-10-30,15855.6484375,16347.471412989595,15801.850020423715,16158.564341848023,3781
2023-10-31,16672.009765625,16797.75845383248,15915.859872959734,16433.726230224842,44193
2023-11-01,16933.775390625,17013.426023387496,16525.974769480265,16671.3493336818,27496
2023-11-02,16941.806640625,17108.566901558923,16477.450878079195,16942.23361223821,8281
2023-11-03,16669.54296875,16985.006328298423,16477.45213807395,16908.96824736592,4353
2023-11-06,16781.791015625,16870.946393208655,16670.49066450211,16670.49066450211,2935
2023-11-07,16641.310546875,17111.51017350242,16538.27860086358,16781.78975356537,7107
2023-11-08,16699.90625,16869.042657594055,16642.877708223146,16717.917021885387,6445
2023-11-09,16370.951171875,16781.79444330892,16343.530309190868,16781.79444330892,4731
2023-11-10,16928.638671875,17075.916011649173,16395.755897098967,16462.383879727506,13962
2023-11-13,16901.361328125,17062.94222036329,16750.759174359795,16968.321608260972,3156
2023-11-15,17285.44921875,17430.82562002247,16809.117855006698,16990.326454787184,4231
2023-11-16,17248.904296875,17581.90315636806,17179.851851624644,17346.185133728894,4886
2023-11-17,17616.87109375,17963.3751539231,17235.902227393515,17313.290262775274,13397
2023-11-20,17410.515625,18403.138650356752,17219.840735318878,17805.634148721794,13593
2023-11-21,17090.064453125,17679.586726546862,16942.60032749109,17580.92565312747,6965
2023-11-22,17120.03515625,17577.101878342884,17017.88614847779,17208.08305618051,9979
2023-11-23,17112.81640625,17436.56675033758,17021.70817333071,17195.65293625843,3606
2023-11-24,17116.83203125,17294.697929316917,17055.69611369445,17294.17137844187,9220
2023-11-28,16806.033203125,17142.594414720435,16730.125858646035,17066.449935645032,7174
2023-11-29,16520.5234375,16881.606654124556,16491.126212512478,16881.606654124556,11579
2023-11-30,16481.46875,16630.079321000354,16060.920813125527,16609.334711830685,17298
2023-12-01,16627.9765625,16701.396793189102,16352.312267141644,16481.468462991088,7836
2023-12-04,16724.533203125,16873.52654709917,16573.1965212639,16667.985005590595,7999
2023-12-05,16668.033203125,16882.130257430872,16444.278982845484,16724.532852234915,6061
2023-12-06,16676.92578125,16769.18048686687,16347.72503677151,16347.72503677151,13247
2023-12-07,16700.6796875,16730.125455181722,16581.800569491625,16688.06113975155,2302
2023-12-08,16407.08984375,16761.624719903,16347.722173507553,16761.624719903,3827
2023-12-11,16439.0234375,16673.435679300932,16381.99722892564,16443.325470326537,10265
2023-12-12,16245.2890625,16493.66051797037,16209.104557879871,16468.516777879828,5169
2023-12-13,16421.001953125,16443.18057397023,16252.122902582254,16282.715133928292,1532
2023-12-14,16404.220703125,16644.03470555855,16369.709220998016,16369.709220998016,3447
2023-12-15,16710.001953125,16783.136506776704,16430.944934325104,16486.249579561263,5434
2023-12-18,16588.158203125,16760.81272243083,16539.879841642833,16730.12526609731,10411
2023-12-19,16584.908203125,16734.90610688063,16521.382271296563,16588.207548299913,3595
2023-12-20,16302.6474609375,16701.446248960176,16190.650840899256,16626.590136235594,5626
2023-12-21,16137.734375,16375.445918244206,15941.418686830646,16252.121000067225,8061
2023-12-22,16253.3173828125,16378.9837821694,16185.058095402168,16185.058095402168,9787
2023-12-26,16413.16015625,16731.941859742266,16182.906208332277,16184.29353901632,6307
2023-12-27,16715.642578125,16773.146786229998,16412.732061897783,16433.095762699588,4466
2023-12-28,16374.7783203125,16854.311142275914,16327.646420055897,16715.69010293473,19865
2023-12-29,16602.0703125,16816.16738747408,16415.839354870055,16482.711314570057,11992
